"","parl_id","syls","parly","gender","name","wikidataid","constituency","region","msp_type","office_held"
"825",3775,401541,"5th","F","Aileen Campbell","Q405017","Clydesdale","South Scotland","Constituency","The Minister for Public Health and Sport"
"826",3775,401541,"5th","F","Aileen Campbell","Q405017","Clydesdale","South Scotland","Constituency","The Cabinet Secretary for Communities and Local Government"
"827",3806,174055,"5th","M","David Stewart","Q1176741",NA,"Highlands and Islands","Region",NA
"828",3812,128033,"5th","F","Kezia Dugdale","Q1740370",NA,"Lothian","Region",NA
"829",3896,270786,"5th","M","Liam McArthur","Q1691804","Orkney Islands","Highlands and Islands","Constituency",NA
"830",3901,211734,"5th","M","Joe FitzPatrick","Q1612012","Dundee City West","North East Scotland","Constituency","The Minister for Parliamentary Business"
"831",3901,211734,"5th","M","Joe FitzPatrick","Q1612012","Dundee City West","North East Scotland","Constituency","The Minister for Public Health, Sport and Wellbeing"
"832",3901,211734,"5th","M","Joe FitzPatrick","Q1612012","Dundee City West","North East Scotland","Constituency",NA
"833",3907,97331,"5th","M","Willie Coffey","Q524532","Kilmarnock and Irvine Valley","South Scotland","Constituency",NA
"834",3983,128645,"5th","M","Maurice Golden","Q24039803",NA,"West Scotland","Region",NA
"835",3985,42386,"5th","M","Ross Thomson","Q24034678",NA,"North East Scotland","Region",NA
"836",3994,163287,"5th","M","Graham Simpson","Q24039900",NA,"Central Scotland","Region",NA
"837",4016,12781,"5th","M","John Lamont","Q1700778","Ettrick, Roxburgh and Berwickshire","South Scotland","Constituency",NA
"838",4934,299530,"5th","F","Alison Johnstone","Q2647232",NA,"Lothian","Region",NA
"839",4938,109981,"5th","M","Richard Lyle","Q2150126","Uddingston and Bellshill","Central Scotland","Constituency",NA
"840",4939,95752,"5th","M","Angus MacDonald","Q544483","Falkirk East","Central Scotland","Constituency",NA
"841",4940,160074,"5th","F","Clare Adamson","Q540328","Motherwell and Wishaw","Central Scotland","Constituency",NA
"842",4941,486032,"5th","M","Humza Yousaf","Q174924","Glasgow Pollok","Glasgow","Constituency","The Minister for Europe and International Development"
